%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
0.0, 440780.296875, 457812.890625, -650160.0, -585023.109375, 48583.927734375, -428967.328125, -90512.759765625, -249367.1484375, -48879.5068359375, 212233.03125, -633447.140625, -671183.71875, 208817.5078125, 178188.8203125, 2249999.625, -376700.203125, 0.058000002056360245, 0.984000027179718, 0.1940000057220459, 192.0, 0.5, 104.0, 15.0, 96.0, 3.0, 8.0, 0.0, 0.0, 0.0, 1.6283199309611633E9, 2021-08-07 01:05:30.961
2.0, 880844.53125, 915368.8125, -1300078.125, -1169423.34375, 94609.564453125, -854350.6875, -181476.12890625, -498239.671875, -120513.26953125, 440889.75, -1279621.96875, -1345402.59375, 413046.28125, 354854.1328125, -838216.6875, -760460.484375, 0.058000002056360245, 0.984000027179718, 0.1940000057220459, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6283199309612951E9, 2021-08-07 01:05:30.961
4.0, 880813.40625, 915459.46875, -1300689.09375, -1170496.78125, 105031.55859375, -851274.1875, -182006.671875, -499243.359375, -118884.09375, 463519.03125, -1273939.96875, -1324662.09375, 411701.953125, 356821.265625, -836265.09375, -759411.75, 0.058000002056360245, 0.984000027179718, 0.1940000057220459, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6283199309612997E9, 2021-08-07 01:05:30.961
6.0, 880997.90625, 915206.25, -1299809.34375, -1169474.34375, 92857.546875, -855880.125, -180874.78125, -497842.734375, -120510.046875, 441830.15625, -1279542.0, -1344448.21875, 413102.0625, 354656.1796875, -837928.03125, -760590.328125, 0.06500000320374966, 0.984000027179718, 0.21000000834465027, 192.0, 1.0, 32.0, 15.0, 96.0, 3.5, 8.0, 0.0, 0.0, 0.0, 1.6283199309613037E9, 2021-08-07 01:05:30.961
8.0, 880425.5625, 915158.53125, -1300793.71875, -1170758.625, 106213.875, -850102.125, -182117.1796875, -499858.640625, -119043.9609375, 461698.875, -1274310.65625, -1326239.25, 411754.5, 356709.1640625, -836117.0625, -759604.875, 0.06500000320374966, 0.984000027179718, 0.21000000834465027, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6283199309613075E9, 2021-08-07 01:05:30.961
10.0, 880816.59375, 914951.4375, -1299797.53125, -1169598.28125, 91979.390625, -857200.3125, -180727.79296875, -497723.0625, -120603.92578125, 443451.28125, -1279464.75, -1342967.15625, 412811.859375, 354317.15625, -837761.8125, -760826.90625, 0.06500000320374966, 0.984000027179718, 0.21000000834465027, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6283199309613116E9, 2021-08-07 01:05:30.961
12.0, 880264.59375, 915113.4375, -1300575.9375, -1170504.28125, 107232.046875, -848809.78125, -182293.6640625, -499443.46875, -119195.23828125, 459352.453125, -1274851.40625, -1328225.15625, 411931.03125, 356448.4453125, -836067.1875, -759395.109375, 0.06500000320374966, 0.984000027179718, 0.21000000834465027, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6283199309613156E9, 2021-08-07 01:05:30.961
14.0, 880699.125, 914554.5, -1299738.46875, -1169581.125, 91525.025390625, -858178.78125, -180770.70703125, -498445.6875, -120454.79296875, 445697.34375, -1278971.8125, -1340592.28125, 412591.921875, 354151.9453125, -837453.28125, -760666.5, 0.06500000320374966, 0.984000027179718, 0.21000000834465027, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6283199309613197E9, 2021-08-07 01:05:30.961
16.0, 880032.84375, 914946.65625, -1300681.03125, -1170426.0, 107472.90234375, -848022.28125, -182568.328125, -499643.015625, -119391.03515625, 456505.59375, -1275454.875, -1330629.5625, 412030.78125, 356199.0, -836407.21875, -759675.703125, 0.07550000306218863, 0.9820000231266022, 0.2240000069141388, 192.0, 1.0, 88.0, 15.0, 80.0, 3.5, 56.0, 0.0, 0.0, 0.0, 1.6283199309613235E9, 2021-08-07 01:05:30.961
18.0, 880796.71875, 914803.96875, -1299972.9375, -1169839.125, 91531.998046875, -858760.21875, -181121.00390625, -498573.328125, -120270.796875, 448588.21875, -1278139.78125, -1337962.125, 412545.796875, 354571.96875, -837366.9375, -760581.75, 0.07550000306218863, 0.9820000231266022, 0.2240000069141388, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6283199309613276E9, 2021-08-07 01:05:30.961
20.0, 879996.375, 915117.1875, -1300954.125, -1170734.4375, 107060.91796875, -847735.3125, -183089.75390625, -500120.4375, -119544.99609375, 453524.578125, -1276221.9375, -1333589.625, 412062.984375, 356057.3671875, -837083.71875, -760251.84375, 0.07550000306218863, 0.9820000231266022, 0.2240000069141388, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6283199309613316E9, 2021-08-07 01:05:30.961
22.0, 881245.21875, 915197.15625, -1299485.8125, -1169434.6875, 92150.51953125, -858772.03125, -180637.67578125, -497828.25, -119691.4453125, 451838.53125, -1277331.84375, -1335330.375, 412655.203125, 354902.953125, -837138.9375, -760458.890625, 0.07550000306218863, 0.9820000231266022, 0.2240000069141388, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6283199309613354E9, 2021-08-07 01:05:30.961
24.0, 879575.8125, 914721.28125, -1300975.03125, -1170720.0, 106360.86328125, -847763.15625, -183188.98828125, -500017.96875, -119653.359375, 450546.234375, -1276794.375, -1336252.5, 412441.6875, 355887.8671875, -836989.3125, -759955.6875, 0.07550000306218863, 0.9820000231266022, 0.2240000069141388, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6283199309613395E9, 2021-08-07 01:05:30.961
26.0, 881080.5, 915149.4375, -1299424.6875, -1169314.5, 93056.56640625, -858671.15625, -180479.42578125, -497245.125, -120001.5, 454717.59375, -1276858.6875, -1332526.40625, 412030.265625, 354998.4375, -836829.46875, -759977.71875, 0.08775000227615237, 0.977000042796135, 0.23000001162290573, 192.0, 1.5, 16.0, 15.0, 48.0, 3.5, 48.0, 0.0, 0.0, 0.0, 1.6283199309613433E9, 2021-08-07 01:05:30.961
28.0, 879616.03125, 914796.46875, -1300435.875, -1170135.28125, 105168.890625, -847906.40625, -182532.92578125, -499172.015625, -120070.7109375, 447596.90625, -1277529.28125, -1338835.5, 412544.15625, 355745.6953125, -836832.09375, -759341.484375, 0.08775000227615237, 0.977000042796135, 0.23000001162290573, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.628319930961347E9, 2021-08-07 01:05:30.961
30.0, 881049.9375, 914908.03125, -1299402.65625, -1169535.0, 94765.13671875, -858238.3125, -180252.50390625, -498240.234375, -119787.99609375, 457633.734375, -1276091.625, -1329730.40625, 411858.046875, 355012.3828125, -836301.5625, -759738.46875, 0.08775000227615237, 0.977000042796135, 0.23000001162290573, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6283199309613512E9, 2021-08-07 01:05:30.961
32.0, 879857.4375, 914883.84375, -1300189.6875, -1170063.9375, 103825.640625, -848450.90625, -182436.90234375, -499678.96875, -120171.0234375, 444844.40625, -1278078.5625, -1341289.6875, 412771.078125, 355265.578125, -836932.40625, -759884.90625, 0.08775000227615237, 0.977000042796135, 0.23000001162290573, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6283199309613552E9, 2021-08-07 01:05:30.961
